date,test_SR,K,lambda0,lambda2,test_SR_ann
1981-12-31,0.15250267376483193,5.0,0.0,1e-05,0.5282847585015803
1982-12-31,0.835571365920497,5.0,0.0,1e-05,2.894504118248053
1983-12-31,0.9031513165807706,5.0,0.0,1e-05,3.128607934481237
1984-12-31,0.6380671764481255,5.0,0.0,1e-05,2.210329536500338
1985-12-31,0.5067844090499327,5.0,0.0,1e-05,1.7555526899165044
1986-12-31,0.664789090054629,5.0,0.0,1e-05,2.3028969605841985
1987-12-31,0.7440802198582813,5.0,0.0,1e-05,2.5775694914031275
1988-12-31,1.1346762868016746,5.0,0.0,1e-05,3.930633957768191
1989-12-31,0.7537177314685248,5.0,0.0,1e-05,2.610954810938081
1990-12-31,1.5028575203112338,5.0,0.0,1e-05,5.206051163432066
1991-12-31,1.1327337406752667,5.0,0.0,1e-05,3.9239047805942215
1992-12-31,1.0113305899655975,5.0,0.0,1e-05,3.5033519301380447
1993-12-31,1.2109400872996585,5.0,0.0,1e-05,4.194819512249801
1994-12-31,1.4950686507452258,5.0,0.0,1e-05,5.1790697277883595
1995-12-31,0.7102474018573549,5.0,0.0,1e-05,2.4603691719214567
1996-12-31,1.0809123949618928,5.0,0.0,1e-05,3.744390373209911
1997-12-31,0.9204991765660304,5.0,0.0,1e-05,3.1887026842753587
1998-12-31,0.9332569374664872,5.0,0.0,1e-05,3.2328968644161726
1999-12-31,0.4914303204690225,5.0,0.0,1e-05,1.7023645668644052
2000-12-31,0.665165276483631,5.0,0.0,1e-05,2.3042001086004973
2001-12-31,0.5590731993111409,5.0,0.0,1e-05,1.9366863727139547
2002-12-31,0.7411533710601922,5.0,0.0,1e-05,2.567430589754403
2003-12-31,0.9658436099361727,5.0,0.0,1e-05,3.345780409150375
2004-12-31,0.9500827830515861,5.0,0.0,1e-05,3.2911833032835722
2005-12-31,0.6125631001322227,5.0,0.0,1e-05,2.1219808245418226
2006-12-31,0.7976654014044728,5.0,0.0,1e-05,2.7631940053447397
2007-12-31,-0.0163765161655801,5.0,0.0,1e-05,-0.05672991609951557
2008-12-31,-0.19049465054828552,5.0,0.0,1e-05,-0.659892826639418
2009-12-31,0.7827359781568416,5.0,0.0,1e-05,2.711476966159545
2010-12-31,0.358978224555744,5.0,0.0,1e-05,1.2435370474828364
2011-12-31,0.31268595182035536,5.0,0.0,1e-05,1.083175910731779
2012-12-31,0.4526100044899789,5.0,0.0,1e-05,1.567887047581242
2013-12-31,0.5310859343437762,5.0,0.0,1e-05,1.8397356429372185
2014-12-31,0.23342934089395634,5.0,0.0,1e-05,0.8086229568112956
2015-12-31,0.18066569214984068,5.0,0.0,1e-05,0.6258443159762435
2016-12-31,0.10525339903024322,5.0,0.0,1e-05,0.36460846957940407
2017-12-31,0.16892134323499988,5.0,0.0,1e-05,0.5851606979316021
2018-12-31,-0.5947220280018745,5.0,0.0,1e-05,-2.060177537759294
2019-12-31,0.04549664593026019,5.0,0.0,1e-05,0.15760500465036487
2020-12-31,0.7390698482601752,5.0,0.0,1e-05,2.560213055057688
2021-12-31,0.6458755314697968,5.0,0.0,1e-05,2.2373784717424785
2022-12-31,-0.3120725455277389,5.0,0.0,1e-05,-1.0810510090027907
2023-12-31,0.04021194588310079,5.0,0.0,1e-05,0.13929826668148143
2024-12-31,0.20556093561425495,5.0,0.0,1e-05,0.7120839690705685
