year,ensemble_avg_test_SR
1981,0.6150231899037725
1982,1.3554628193032707
1983,1.463064648942418
1984,1.963765664376455
1985,1.222727702858382
1986,1.366371416378479
1987,1.0497449390215827
1988,1.4022808274896628
1989,1.6672216215328384
1990,2.051411232416864
1991,1.3638196197624741
1992,1.6057990122613774
1993,1.4427149203081588
1994,2.594858770333955
1995,1.4115474516306568
1996,1.8247682612462333
1997,1.6193990752050045
1998,1.8632855710124165
1999,1.0169350632560366
2000,1.3049682352817529
2001,0.5970285434650215
2002,0.978636986079028
2003,1.0840880192514897
2004,1.0900192601008696
2005,0.8363226725154284
2006,0.9598351753162709
2007,0.43254528154836475
2008,0.16088669610113096
2009,0.7005049630430006
2010,0.7187210441546447
2011,0.8601343581428056
2012,0.7173615576583586
2013,0.813369946271542
2014,0.9152631723860732
2015,0.6779876278826634
2016,0.4286429156883842
2017,0.34631440500015487
2018,-0.10226112050754489
2019,0.3915373487018771
2020,0.374117848565545
2021,1.2853353929837683
2022,0.284989716510973
2023,0.4274365146456727
2024,0.766792274663589
