date,repeat_idx,window_idx,year,strategy_ret
1981-01-31,1,1,1981,0.012734744477037586
1981-02-28,1,1,1981,-0.0005371826264488475
1981-03-31,1,1,1981,0.010122825686557115
1981-04-30,1,1,1981,0.028170714208529696
1981-05-31,1,1,1981,-0.007462827732876985
1981-06-30,1,1,1981,0.013097987482158346
1981-07-31,1,1,1981,0.015590995790244713
1981-08-31,1,1,1981,0.009604355835815523
1981-09-30,1,1,1981,-0.009879824032527771
1981-10-31,1,1,1981,-0.000923113127384551
1981-11-30,1,1,1981,0.029726234027051456
1981-12-31,1,1,1981,-0.0016253221660434466
1982-01-31,1,2,1982,0.01792039789314093
1982-02-28,1,2,1982,0.024572461480603592
1982-03-31,1,2,1982,0.02437007377204557
1982-04-30,1,2,1982,0.00995478464156868
1982-05-31,1,2,1982,0.010544015351203223
1982-06-30,1,2,1982,0.023673135713601166
1982-07-31,1,2,1982,0.017315569534182777
1982-08-31,1,2,1982,0.03323201004324868
1982-09-30,1,2,1982,0.057073217798705916
1982-10-31,1,2,1982,0.028405292979485557
1982-11-30,1,2,1982,0.03648222059385849
1982-12-31,1,2,1982,0.01916562555950533
1983-01-31,1,3,1983,0.01144032254902929
1983-02-28,1,3,1983,0.0579949179887109
1983-03-31,1,3,1983,0.03180794382119941
1983-04-30,1,3,1983,0.04306353404841672
1983-05-31,1,3,1983,-0.006914417630344376
1983-06-30,1,3,1983,0.008645985975814738
1983-07-31,1,3,1983,0.026986339778078437
1983-08-31,1,3,1983,0.039052141011417435
1983-09-30,1,3,1983,0.042429424907236085
1983-10-31,1,3,1983,0.026944897763973547
1983-11-30,1,3,1983,0.019183733426671793
1983-12-31,1,3,1983,0.019708251336786112
1984-01-31,1,4,1984,0.02266324260132049
1984-02-29,1,4,1984,0.016107779871794802
1984-03-31,1,4,1984,0.00581115207024137
1984-04-30,1,4,1984,0.02759583379122233
1984-05-31,1,4,1984,0.05191880050352669
1984-06-30,1,4,1984,0.0010242154275144598
1984-07-31,1,4,1984,0.022826813649334463
1984-08-31,1,4,1984,0.037555452059205435
1984-09-30,1,4,1984,0.024580891776738726
1984-10-31,1,4,1984,0.04955650041633789
1984-11-30,1,4,1984,0.04222964264278889
1984-12-31,1,4,1984,0.01483286539534782
1985-01-31,1,5,1985,-0.052319796869567316
1985-02-28,1,5,1985,0.0485157178038099
1985-03-31,1,5,1985,0.02653218223624719
1985-04-30,1,5,1985,0.02807032561831946
1985-05-31,1,5,1985,0.05260815537322098
1985-06-30,1,5,1985,0.0005408636696349736
1985-07-31,1,5,1985,0.011513069834328161
1985-08-31,1,5,1985,-0.015071826034568752
1985-09-30,1,5,1985,0.017323181825254802
1985-10-31,1,5,1985,0.00683287337962764
1985-11-30,1,5,1985,0.03736987613311401
1985-12-31,1,5,1985,0.01171861113539928
1986-01-31,1,6,1986,0.001086431980733818
1986-02-28,1,6,1986,0.03071702714883373
1986-03-31,1,6,1986,0.03232002031203379
1986-04-30,1,6,1986,0.009733697410566743
1986-05-31,1,6,1986,0.04981286873164362
1986-06-30,1,6,1986,0.047375459234826126
1986-07-31,1,6,1986,0.02038545300174298
1986-08-31,1,6,1986,0.03864130597825003
1986-09-30,1,6,1986,-0.0296843776114002
1986-10-31,1,6,1986,0.036864018419832015
1986-11-30,1,6,1986,0.024945860800214163
1986-12-31,1,6,1986,0.019343460730098763
1987-01-31,1,7,1987,0.09531819919433195
1987-02-28,1,7,1987,-0.02203570413816682
1987-03-31,1,7,1987,0.012343816484788175
1987-04-30,1,7,1987,0.03300063205867169
1987-05-31,1,7,1987,0.046567271545728844
1987-06-30,1,7,1987,0.040104442676151014
1987-07-31,1,7,1987,0.08261607561629362
1987-08-31,1,7,1987,0.04426955673983796
1987-09-30,1,7,1987,0.01976343453222869
1987-10-31,1,7,1987,0.00041218762554839916
1987-11-30,1,7,1987,0.06171835091877378
1987-12-31,1,7,1987,0.04781163495952305
1988-01-31,1,8,1988,-0.01890863925147432
1988-02-29,1,8,1988,0.07226060674611819
1988-03-31,1,8,1988,-0.006292080595350122
1988-04-30,1,8,1988,0.04898732328180299
1988-05-31,1,8,1988,0.08311383726170948
1988-06-30,1,8,1988,0.04460878424091358
1988-07-31,1,8,1988,0.03281378986543032
1988-08-31,1,8,1988,0.039125748048659814
1988-09-30,1,8,1988,0.09542014389376928
1988-10-31,1,8,1988,0.045784247499974076
1988-11-30,1,8,1988,0.038181032863674795
1988-12-31,1,8,1988,0.052032142839171
1989-01-31,1,9,1989,0.0724582431026542
1989-02-28,1,9,1989,0.009630189908543817
1989-03-31,1,9,1989,0.06980160752269632
1989-04-30,1,9,1989,0.06618875730061317
1989-05-31,1,9,1989,0.05571446162305038
1989-06-30,1,9,1989,0.04790349964983335
1989-07-31,1,9,1989,0.03903869991972861
1989-08-31,1,9,1989,0.0015546797270276783
1989-09-30,1,9,1989,0.0014923745697955862
1989-10-31,1,9,1989,0.048232418734321346
1989-11-30,1,9,1989,-0.03361752228979602
1989-12-31,1,9,1989,0.06304875520311642
1990-01-31,1,10,1990,0.032357102866828705
1990-02-28,1,10,1990,0.07654444383541813
1990-03-31,1,10,1990,0.0476484014149147
1990-04-30,1,10,1990,0.021456081350946156
1990-05-31,1,10,1990,0.03720128141952318
1990-06-30,1,10,1990,0.05588000452537646
1990-07-31,1,10,1990,0.05553417930327545
1990-08-31,1,10,1990,0.04695878288309851
1990-09-30,1,10,1990,0.05500901193188841
1990-10-31,1,10,1990,0.045885031324417756
1990-11-30,1,10,1990,0.04767468200837547
1990-12-31,1,10,1990,0.10057326584942732
1991-01-31,1,11,1991,0.013035999458688012
1991-02-28,1,11,1991,0.032457234146296476
1991-03-31,1,11,1991,0.04298314595872383
1991-04-30,1,11,1991,0.04665564399475781
1991-05-31,1,11,1991,0.07639166237739999
1991-06-30,1,11,1991,0.0500773407970622
1991-07-31,1,11,1991,0.05283950724907737
1991-08-31,1,11,1991,0.03546770448333049
1991-09-30,1,11,1991,-0.004553476526183306
1991-10-31,1,11,1991,0.015432882151219131
1991-11-30,1,11,1991,-0.01089135063171884
1991-12-31,1,11,1991,0.06355597545587616
1992-01-31,1,12,1992,-0.007517294624808399
1992-02-29,1,12,1992,0.08199676498266237
1992-03-31,1,12,1992,0.06877450939997665
1992-04-30,1,12,1992,0.07144626792944403
1992-05-31,1,12,1992,0.04289742037895365
1992-06-30,1,12,1992,0.03438664631546536
1992-07-31,1,12,1992,0.04649078152099075
1992-08-31,1,12,1992,0.05268454847506835
1992-09-30,1,12,1992,0.0397059075054665
1992-10-31,1,12,1992,0.04304449289521482
1992-11-30,1,12,1992,0.017291781923141743
1992-12-31,1,12,1992,0.048820740243010904
1993-01-31,1,13,1993,0.12255021395085264
1993-02-28,1,13,1993,0.10020027270611966
1993-03-31,1,13,1993,0.04232173513831032
1993-04-30,1,13,1993,0.07174705370963515
1993-05-31,1,13,1993,0.03877715611299088
1993-06-30,1,13,1993,0.10412297529368159
1993-07-31,1,13,1993,0.05528638277464977
1993-08-31,1,13,1993,0.003113821514343428
1993-09-30,1,13,1993,-0.004464063290785676
1993-10-31,1,13,1993,0.03707283766878239
1993-11-30,1,13,1993,0.0542997707973502
1993-12-31,1,13,1993,0.04787127193141959
1994-01-31,1,14,1994,0.046972550699673016
1994-02-28,1,14,1994,0.047817070870196286
1994-03-31,1,14,1994,0.02467151628253761
1994-04-30,1,14,1994,0.051268534516045974
1994-05-31,1,14,1994,0.03891146982160273
1994-06-30,1,14,1994,0.03880122175488334
1994-07-31,1,14,1994,0.029580633599591625
1994-08-31,1,14,1994,0.04487792442451747
1994-09-30,1,14,1994,0.035967446623443394
1994-10-31,1,14,1994,0.028972118944466232
1994-11-30,1,14,1994,0.02130495522088849
1994-12-31,1,14,1994,0.07845652601680606
1995-01-31,1,15,1995,0.01834583628553186
1995-02-28,1,15,1995,0.0357096193669188
1995-03-31,1,15,1995,0.04094648358393181
1995-04-30,1,15,1995,0.038793224763137554
1995-05-31,1,15,1995,0.024015279873400214
1995-06-30,1,15,1995,0.0015216767700038376
1995-07-31,1,15,1995,0.034376953458408556
1995-08-31,1,15,1995,-0.006242657749405139
1995-09-30,1,15,1995,0.03858181595739208
1995-10-31,1,15,1995,0.051695883259201394
1995-11-30,1,15,1995,0.04123897014567253
1995-12-31,1,15,1995,0.017143847849159392
1996-01-31,1,16,1996,0.05578966587803276
1996-02-29,1,16,1996,0.013084554612843826
1996-03-31,1,16,1996,0.01814549007787168
1996-04-30,1,16,1996,0.006108178227002406
1996-05-31,1,16,1996,0.024154702409380054
1996-06-30,1,16,1996,0.09685957155281961
1996-07-31,1,16,1996,0.03975444691181524
1996-08-31,1,16,1996,0.023177004881110425
1996-09-30,1,16,1996,0.043461629094938545
1996-10-31,1,16,1996,0.07358768695498877
1996-11-30,1,16,1996,0.04462086085479605
1996-12-31,1,16,1996,0.046492274461345844
1997-01-31,1,17,1997,0.04099078960640286
1997-02-28,1,17,1997,0.07257590159186893
1997-03-31,1,17,1997,0.07271767105297168
1997-04-30,1,17,1997,0.07797028953630326
1997-05-31,1,17,1997,0.007332633841002937
1997-06-30,1,17,1997,0.05863030504315879
1997-07-31,1,17,1997,0.04004066846810608
1997-08-31,1,17,1997,0.023265772646633088
1997-09-30,1,17,1997,-0.03136748812996645
1997-10-31,1,17,1997,0.07157630347946367
1997-11-30,1,17,1997,0.10554552380451912
1997-12-31,1,17,1997,0.06625852360120887
1998-01-31,1,18,1998,0.03998696500394177
1998-02-28,1,18,1998,0.02056730455108019
1998-03-31,1,18,1998,0.007468075784795863
1998-04-30,1,18,1998,0.02889415170660139
1998-05-31,1,18,1998,0.02436624114985455
1998-06-30,1,18,1998,0.053572385145548004
1998-07-31,1,18,1998,0.022140141213288174
1998-08-31,1,18,1998,0.022249892989740214
1998-09-30,1,18,1998,0.08179464849436043
1998-10-31,1,18,1998,0.026762719404915022
1998-11-30,1,18,1998,-0.004825190112804832
1998-12-31,1,18,1998,0.07636093903119513
1999-01-31,1,19,1999,0.07072504942029842
1999-02-28,1,19,1999,0.0482839509032433
1999-03-31,1,19,1999,-0.00014708875487562558
1999-04-30,1,19,1999,0.05488308658665365
1999-05-31,1,19,1999,0.08853147234336535
1999-06-30,1,19,1999,0.0866252285593689
1999-07-31,1,19,1999,0.04187543088575548
1999-08-31,1,19,1999,0.02307439693371193
1999-09-30,1,19,1999,0.023517754761398307
1999-10-31,1,19,1999,0.054705319240408196
1999-11-30,1,19,1999,-0.03433108573396376
1999-12-31,1,19,1999,-0.07621423289296969
2000-01-31,1,20,2000,0.025851986372268407
2000-02-29,1,20,2000,-0.03964746447430539
2000-03-31,1,20,2000,0.08980956143403833
2000-04-30,1,20,2000,0.09965018157694142
2000-05-31,1,20,2000,0.10619220875022026
2000-06-30,1,20,2000,0.004905151815203542
2000-07-31,1,20,2000,0.05145382401004227
2000-08-31,1,20,2000,0.08002436064863742
2000-09-30,1,20,2000,0.017508689828979563
2000-10-31,1,20,2000,0.058751913081434314
2000-11-30,1,20,2000,0.04116312964069721
2000-12-31,1,20,2000,0.06463191514176125
2001-01-31,1,21,2001,0.02979203109218923
2001-02-28,1,21,2001,0.08492924671645463
2001-03-31,1,21,2001,0.09256250916829128
2001-04-30,1,21,2001,0.014159313899416603
2001-05-31,1,21,2001,0.037145497995124704
2001-06-30,1,21,2001,0.051277399136989775
2001-07-31,1,21,2001,0.029982561667182977
2001-08-31,1,21,2001,0.018578697111058213
2001-09-30,1,21,2001,0.11548470321151619
2001-10-31,1,21,2001,0.0018963658852127999
2001-11-30,1,21,2001,-0.09730085514939249
