repeat_idx,window_idx,year,best_lambda0_idx,best_lambda2_idx,best_lambda0,best_lambda2,best_portsN,valid_SR,train_SR_full,test_SR_full
1,1,1981,1,4,0.0,1e-08,50,0.2799411581078265,0.8813368527651173,0.6432826806574707
1,2,1982,2,4,0.1,1e-08,50,0.6932340525832899,1.2479948510387582,1.961030493842577
1,3,1983,2,4,0.1,1e-08,50,0.7350200984877315,1.3666019896356736,1.503570793677267
1,4,1984,1,4,0.0,1e-08,50,0.8255897299082697,1.3072642423306116,1.6250154607789136
1,5,1985,1,1,0.0,1e-05,31,0.9340639033749736,1.05074851261509,0.5036529941156049
1,6,1986,2,4,0.1,1e-08,23,0.9063965579576374,1.0129436345914915,1.0638846889723246
1,7,1987,1,1,0.0,1e-05,18,0.9458310714448724,0.8765828502258971,1.1614073216685907
1,8,1988,1,4,0.0,1e-08,7,0.9371243066434712,0.7346875281113571,1.344895892243343
1,9,1989,5,1,0.5,1e-05,18,0.9033429014564338,0.877971665657561,1.0819863514451815
1,10,1990,4,1,0.3,1e-05,41,0.8704507743296915,1.2118272772308147,2.5276396961783334
1,11,1991,4,2,0.3,1e-06,50,0.9722992551099616,1.437631581173227,1.292819934516494
1,12,1992,4,1,0.3,1e-05,50,1.0546062920122246,1.3324202808314995,1.8680169354192149
1,13,1993,4,1,0.3,1e-05,12,1.20699382529584,0.9214504561497678,1.4562308747541524
1,14,1994,3,2,0.2,1e-06,50,1.170362639496145,1.3734901330192082,2.6593373579689827
1,15,1995,3,1,0.2,1e-05,47,1.3009243968434865,1.398432125926444,1.6090339279078545
1,16,1996,1,1,0.0,1e-05,36,1.5556476951804998,1.3521264911176605,1.5415679435993694
1,17,1997,1,1,0.0,1e-05,37,1.6550523787649,1.4278384611169304,1.365070839324672
1,18,1998,2,1,0.1,1e-05,42,1.600364706174682,1.588498143576742,1.2888703100277583
1,19,1999,4,1,0.3,1e-05,33,1.4717941144326985,1.458023127233136,0.6492910978282823
1,20,2000,5,1,0.5,1e-05,50,1.0918830946748208,1.6522465190469435,1.1676805686211236
1,21,2001,2,2,0.1,1e-06,50,0.8284575706747808,1.6853997050322391,0.5669115305866237
1,22,2002,5,2,0.5,1e-06,8,0.9258734229984682,1.0932338979822172,0.991133840894434
1,24,2004,4,2,0.3,1e-06,50,0.7303317535098197,1.7828568464653778,1.0274831598806218
1,25,2005,4,2,0.3,1e-06,5,0.6393150638918127,0.8553459779170249,0.7695469902262462
1,26,2006,2,4,0.1,1e-08,50,0.7237770758918121,1.9177099871188616,1.5684440778131812
1,27,2007,4,3,0.3,1e-07,50,0.7355028805454786,1.912363778118697,1.115257721267318
1,28,2008,4,4,0.3,1e-08,46,0.6636703289457451,1.7854007561467888,0.4261523459932509
1,29,2009,1,2,0.0,1e-06,50,0.6441819422130911,1.928145260304821,1.058250881212346
1,30,2010,4,3,0.3,1e-07,50,0.9355925451190036,1.8975456370701704,0.3997480372984994
1,31,2011,2,2,0.1,1e-06,50,0.8635059479639985,1.87708048518964,0.7057811012441729
1,32,2012,1,4,0.0,1e-08,50,0.8654722628872973,1.6738945473814495,0.5189179181623179
1,33,2013,1,4,0.0,1e-08,50,0.7931250754704497,1.6856594464721846,0.7198724212736222
1,34,2014,2,4,0.1,1e-08,50,0.7304447030795764,1.5666240690273416,0.8051266690473152
1,35,2015,1,4,0.0,1e-08,50,0.5797343123465735,1.5431565531905511,1.1337786331250592
1,36,2016,5,2,0.5,1e-06,50,0.5696851166357799,1.5996577767268645,0.5197686444803343
1,37,2017,5,2,0.5,1e-06,50,0.6143743368807681,1.5885729092333898,0.7822653138702264
1,38,2018,5,1,0.5,1e-05,50,0.6491975962070097,1.581752929752201,-0.3802078026310128
1,39,2019,5,1,0.5,1e-05,50,0.5276017901142543,1.4419382363125997,0.5981139961056177
1,40,2020,5,4,0.5,1e-08,50,0.4908371179701787,1.4393327769828483,0.3722715175449752
1,41,2021,5,4,0.5,1e-08,43,0.5593326641508396,1.2781325311427671,1.1719837264462447
1,42,2022,5,1,0.5,1e-05,43,0.6095011248301535,1.2913788013315457,0.1959434389902914
1,43,2023,5,1,0.5,1e-05,46,0.5451895830428412,1.320170140081199,0.397838242441586
1,44,2024,5,1,0.5,1e-05,50,0.4929216143962611,1.2922364987321568,0.8163908574941834
2,1,1981,1,2,0.0,1e-06,50,0.308025575583054,1.1639016137574254,0.4880235803037851
2,2,1982,1,4,0.0,1e-08,50,0.446878963820924,1.341476293692187,0.804880653671192
2,3,1983,1,4,0.0,1e-08,50,0.5253698461801471,1.2210098194745116,0.8277623356797653
2,4,1984,1,4,0.0,1e-08,50,0.6603619350684066,1.2539273285643535,1.2847412507519886
2,5,1985,7,1,0.9,1e-05,50,0.6476886220139721,1.1727375793925636,0.622468267625888
2,6,1986,6,1,0.7,1e-05,50,0.6211147993685604,1.2836510078455752,0.7923804239706124
2,7,1987,1,3,0.0,1e-07,50,0.7112236504993004,1.3692145351372773,1.413721813990456
2,8,1988,1,1,0.0,1e-05,50,0.9690679004096132,1.2913948683645469,0.9522427333338124
2,9,1989,3,3,0.2,1e-07,50,1.1414454905346303,1.3946138784157007,1.2581548267992753
2,10,1990,4,4,0.3,1e-08,50,1.0518638181991224,1.405570582433587,1.5379517608618096
2,11,1991,6,3,0.7,1e-07,50,1.053361020296511,1.4957417599195872,1.6131197397872037
2,12,1992,5,1,0.5,1e-05,50,1.2790548133706303,1.4210490977188968,1.9924298994938376
2,15,1995,3,3,0.2,1e-07,50,1.516524551256873,1.5074754916244295,1.4032794761232623
2,16,1996,1,1,0.0,1e-05,50,1.6672293323367962,1.5420167803074842,3.1709999606323565
2,17,1997,1,4,0.0,1e-08,38,1.747758282977878,1.5145902022091646,1.4021988865327977
